[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_VIAGRA_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_CIALLIS_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_LEVITRA_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_GESDAI_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_DRUGS_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_NORMAL_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_AGE_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_COMERCIALES_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_WITH_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_NUESTR_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_HEALTHCARE_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_HAVE_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_DESEA_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_WINDOWTEXT_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_PRICING_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_HEALTH_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_USTED_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_OFERTA_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_MARCA_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_EMAIL_ON_BODY'
[Wed Mar 14 11:33:03 2012] INFO - RULESET: Inserting rulename 'HAS_REIMBURSEMENT_ON_BODY'
